Tgl FJB,No FJB,Kode Cust,Kode Unit Motor,Tahun Kendaraan,Kilometer,Jns Service,Kondisi_Oli,Kondisi_Rem,Bulan_Terakhir_Ganti_Oli,KM_Terakhir_Ganti_Oli,Usia_Kendaraan,Jumlah_Keluhan,KM_Per_Tahun,Total_Usage_Score,Kondisi_Oli_Score,Kondisi_Rem_Score,Oil_Efficiency,Oil_Change_Urgency
05-01-2021,FJB/9626/SBY/PL/4605,SBY5654551,R15,2018,24370,Repair,Cukup,Perlu Penyetelan,5,3109,3,2,8123,17.0,1,2,621.8,0.8882857142857142
05-01-2021,FJB/1224/SBY/PL/8180,SBY5406553,FREE-GO-S,2020,10889,Repair,Perlu Ganti,Cukup,6,2065,1,3,10889,10.5,2,1,344.1666666666667,0.826
05-01-2021,FJB/8415/SBY/PL/1835,SBY6812336,NMAX-NEO-S,2020,8114,Rutin,Cukup,Cukup,4,2422,1,0,8114,5.0,1,1,605.5,0.8073333333333333
05-01-2021,FJB/8484/SBY/PL/6212,SBY5532172,FAZZIO-NEO-HY,2020,6000,Rutin,Cukup,Baik,4,2390,1,0,6000,5.0,1,0,597.5,0.8535714285714285
06-01-2021,FJB/7706/SBY/PL/8391,SBY2604032,LEXI,2021,361,Kupon Gratis I (DUA),Baik,Baik,4,1490,0,0,361,1.0,0,0,372.5,0.5321428571428571
06-01-2021,FJB/7056/SBY/PL/7399,SBY5505056,ALL-NEW-NMAX,2019,17437,Rutin,Cukup,Perlu Penyetelan,4,2602,2,1,8718,10.5,1,2,650.5,0.8673333333333333
06-01-2021,FJB/5481/SBY/PL/6125,SBY7359247,MT-15,2020,8187,Rutin,Perlu Ganti,Cukup,6,3024,1,1,8187,7.5,2,1,504.0,0.864
06-01-2021,FJB/4312/SBY/PL/5216,SBY2876097,R15,2021,312,Rutin,Cukup,Baik,3,2587,0,1,312,3.5,1,0,862.3333333333334,0.7391428571428571
06-01-2021,FJB/7314/SBY/PL/7761,SBY3785843,MT-15,2019,22998,Repair,Kritis,Perlu Penyetelan,10,7246,2,5,11499,23.5,3,2,724.6,2.0702857142857143
06-01-2021,FJB/8144/SBY/PL/8544,SBY3907003,FREE-GO-S,2021,338,Rutin,Cukup,Baik,4,2004,0,0,338,2.0,1,0,501.0,0.8016
06-01-2021,FJB/9311/SBY/PL/3528,SBY4755732,ALL-NEW-AEROX,2020,11590,Repair,Cukup,Cukup,5,2505,1,3,11590,10.5,1,1,501.0,0.835
06-01-2021,FJB/6127/SBY/PL/2643,SBY9155112,MIO,2020,12413,Jual Part,Cukup,Cukup,5,1838,1,1,12413,6.5,1,1,367.6,0.7352
06-01-2021,FJB/5505/SBY/PL/4777,SBY1891614,FREE-GO-S,2020,7004,Rutin,Cukup,Baik,4,1840,1,1,7004,5.5,1,0,460.0,0.736
06-01-2021,FJB/4102/SBY/PL/6119,SBY7762840,MIO,2018,38271,Repair,Cukup,Perlu Penggantian,5,2424,3,2,12757,19.0,1,3,484.8,0.9696
06-01-2021,FJB/6338/SBY/PL/8930,SBY9443649,LEXI,2021,0,Repair,Cukup,Baik,4,2269,0,2,0,5.0,1,0,567.25,0.8103571428571429
06-01-2021,FJB/3006/SBY/PL/1541,SBY7867437,LEXI,2020,10520,Rutin,Cukup,Cukup,5,2342,1,1,10520,7.5,1,1,468.4,0.8364285714285714
06-01-2021,FJB/7670/SBY/PL/9066,SBY2043304,FAZZIO-NEO-HY,2021,63,Rutin,Perlu Ganti,Baik,5,2886,0,1,63,3.5,2,0,577.2,1.0307142857142857
07-01-2021,FJB/3426/SBY/PL/5760,SBY9601289,X-MAX-CONNEC,2021,202,Kupon Gratis II (TIGA),Cukup,Baik,5,2558,0,0,202,2.0,1,0,511.6,0.799375
07-01-2021,FJB/7870/SBY/PL/8281,SBY1451975,NMAX-NEO-S,2019,24355,Repair,Cukup,Perlu Penyetelan,4,2157,2,1,12177,12.5,1,2,539.25,0.719
07-01-2021,FJB/1715/SBY/PL/2607,SBY7441761,MIO,2018,30466,Repair,Perlu Ganti,Perlu Penggantian,4,2605,3,2,10155,17.0,2,3,651.25,1.042
08-01-2021,FJB/8520/SBY/PL/6615,SBY4309332,ALL-NEW-NMAX,2018,27312,Rutin,Baik,Perlu Penggantian,3,1581,3,2,9104,16.0,0,3,527.0,0.527
08-01-2021,FJB/4992/SBY/PL/1724,SBY4906636,ALL-NEW-NMAX,2020,14381,Kupon Gratis I (DUA),Cukup,Cukup,4,2250,1,1,14381,8.5,1,1,562.5,0.75
08-01-2021,FJB/7622/SBY/PL/7474,SBY8507886,FILANO-NEO,2019,16292,Repair,Cukup,Perlu Penyetelan,5,2449,2,1,8146,10.5,1,2,489.8,0.8746428571428572
08-01-2021,FJB/9954/SBY/PL/6840,SBY5800856,NMAX-NEO-S,2018,31414,Repair,Perlu Ganti,Perlu Penggantian,5,3002,3,2,10471,18.0,2,3,600.4,1.0006666666666666
08-01-2021,FJB/2713/SBY/PL/2003,SBY3917277,ALL-NEW-NMAX,2019,25460,Rutin,Baik,Perlu Penggantian,3,1819,2,2,12730,13.0,0,3,606.3333333333334,0.6063333333333333
08-01-2021,FJB/9363/SBY/PL/4239,SBY2736007,X-MAX-CONNEC,2019,17603,Rutin,Kritis,Perlu Penyetelan,7,4617,2,3,8801,15.5,3,2,659.5714285714286,1.4428125
08-01-2021,FJB/2020/SBY/PL/4809,SBY6516671,NMAX-NEO-S,2020,12624,Repair,Kritis,Cukup,11,4794,1,4,12624,14.0,3,1,435.8181818181818,1.598
08-01-2021,FJB/1920/SBY/PL/9197,SBY2052156,ALL-NEW-NMAX,2018,35621,Rutin,Cukup,Perlu Penggantian,4,2545,3,3,11873,19.5,1,3,636.25,0.8483333333333334
09-01-2021,FJB/7500/SBY/PL/1103,SBY1138535,MIO,2018,35588,Repair,Kritis,Perlu Penggantian,8,3736,3,5,11862,23.5,3,3,467.0,1.4944
09-01-2021,FJB/6289/SBY/PL/3714,SBY3290801,XSR 155,2020,15876,Repair,Perlu Ganti,Perlu Penyetelan,6,3620,1,2,15876,11.0,2,2,603.3333333333334,1.0342857142857143
09-01-2021,FJB/7806/SBY/PL/9878,SBY4291579,MIO,2020,8758,Kupon Gratis I (DUA),Baik,Cukup,4,1263,1,1,8758,5.5,0,1,315.75,0.5052
09-01-2021,FJB/8113/SBY/PL/9138,SBY4592312,ALL-NEW-AEROX,2019,24676,Repair,Perlu Ganti,Perlu Penyetelan,4,3201,2,3,12338,16.5,2,2,800.25,1.067
10-01-2021,FJB/5317/SBY/PL/6291,SBY6311930,X-MAX-CONNEC,2020,11441,Rutin,Cukup,Cukup,4,2501,1,1,11441,7.5,1,1,625.25,0.7815625
10-01-2021,FJB/8559/SBY/PL/1896,SBY3496202,FREE-GO-S,2021,162,Repair,Perlu Ganti,Baik,6,2358,0,1,162,3.5,2,0,393.0,0.9432
10-01-2021,FJB/1669/SBY/PL/8176,SBY1137176,MIO-M3 125,2019,24474,Repair,Perlu Ganti,Perlu Penyetelan,5,2675,2,2,12237,14.0,2,2,535.0,1.07
10-01-2021,FJB/5902/SBY/PL/3199,SBY1126068,ALL-NEW-NMAX,2019,18063,Rutin,Cukup,Perlu Penyetelan,4,2419,2,0,9031,10.0,1,2,604.75,0.8063333333333333
10-01-2021,FJB/7019/SBY/PL/7510,SBY5992336,MIO,2020,8500,Repair,Kritis,Cukup,8,2839,1,3,8500,9.5,3,1,354.875,1.1356
10-01-2021,FJB/7035/SBY/PL/2522,SBY7241489,VIXION,2019,21314,Repair,Cukup,Perlu Penyetelan,5,2814,2,1,10657,11.5,1,2,562.8,0.804
10-01-2021,FJB/3876/SBY/PL/5521,SBY3517279,X-MAX-CONNEC,2018,42231,Repair,Perlu Ganti,Perlu Penggantian,6,3075,3,4,14077,24.0,2,3,512.5,0.9609375
10-01-2021,FJB/3557/SBY/PL/3290,SBY6007270,MIO,2020,9437,Repair,Kritis,Cukup,9,4116,1,2,9437,11.0,3,1,457.3333333333333,1.6464
10-01-2021,FJB/5535/SBY/PL/5405,SBY4840209,NMAX-NEO-S,2019,24177,Repair,Kritis,Perlu Penyetelan,6,4264,2,5,12088,20.5,3,2,710.6666666666666,1.4213333333333333
10-01-2021,FJB/3756/SBY/PL/2436,SBY3348462,NMAX-NEO-S,2020,7739,Rutin,Cukup,Baik,5,2196,1,1,7739,6.5,1,0,439.2,0.732
10-01-2021,FJB/5956/SBY/PL/1450,SBY8945832,NMAX-NEO-S,2020,7157,Repair,Perlu Ganti,Baik,6,3214,1,4,7157,12.0,2,0,535.6666666666666,1.0713333333333332
11-01-2021,FJB/9916/SBY/PL/3827,SBY1866604,MIO,2019,22327,Repair,Cukup,Perlu Penyetelan,4,2155,2,2,11163,13.0,1,2,538.75,0.862
11-01-2021,FJB/2112/SBY/PL/1063,SBY4307264,ALL-NEW-NMAX,2018,36592,Rutin,Kritis,Perlu Penggantian,8,3712,3,5,12197,24.5,3,3,464.0,1.2373333333333334
11-01-2021,FJB/9783/SBY/PL/1523,SBY8724611,FREE-GO-S,2021,119,Repair,Kritis,Baik,7,3283,0,3,119,7.5,3,0,469.0,1.3132
11-01-2021,FJB/8885/SBY/PL/3954,SBY6963728,NMAX-NEO-S,2021,0,Rutin,Cukup,Baik,5,2920,0,0,0,2.0,1,0,584.0,0.9733333333333334
11-01-2021,FJB/5098/SBY/PL/9637,SBY3023625,ALL-NEW-AEROX,2020,7871,Rutin,Baik,Baik,3,1998,1,0,7871,4.0,0,0,666.0,0.666
11-01-2021,FJB/2107/SBY/PL/6909,SBY1806399,R15,2018,41237,Rutin,Kritis,Perlu Penggantian,7,4979,3,5,13745,26.5,3,3,711.2857142857143,1.4225714285714286
12-01-2021,FJB/6143/SBY/PL/8043,SBY8210924,MIO,2019,12939,Rutin,Baik,Cukup,3,1677,2,0,6469,7.0,0,1,559.0,0.6708
12-01-2021,FJB/5199/SBY/PL/3822,SBY1740345,XSR 155,2021,0,Kupon Gratis II (TIGA),Cukup,Baik,4,2991,0,0,0,2.0,1,0,747.75,0.8545714285714285
12-01-2021,FJB/4983/SBY/PL/2657,SBY6321291,MIO-M3 125,2019,13332,Kupon Gratis II (TIGA),Cukup,Cukup,5,2036,2,1,6666,9.5,1,1,407.2,0.8144
12-01-2021,FJB/5706/SBY/PL/3250,SBY3160820,ALL-NEW-AEROX,2021,0,Kupon Gratis I (DUA),Cukup,Baik,5,2690,0,0,0,2.0,1,0,538.0,0.8966666666666666
12-01-2021,FJB/5397/SBY/PL/7517,SBY9569238,NMAX-NEO-S,2021,346,Kupon Gratis II (TIGA),Cukup,Baik,4,2366,0,0,346,2.0,1,0,591.5,0.7886666666666666
12-01-2021,FJB/7561/SBY/PL/1094,SBY1890833,R15,2019,25342,Rutin,Cukup,Perlu Penggantian,5,3190,2,2,12671,15.0,1,3,638.0,0.9114285714285715
12-01-2021,FJB/2459/SBY/PL/1824,SBY6128780,LEXI,2021,210,Rutin,Cukup,Baik,5,2263,0,2,210,5.0,1,0,452.6,0.8082142857142857
13-01-2021,FJB/1119/SBY/PL/9100,SBY5192004,MIO,2021,0,Rutin,Perlu Ganti,Baik,5,2711,0,2,0,5.0,2,0,542.2,1.0844
13-01-2021,FJB/6507/SBY/PL/3173,SBY4212373,LEXI,2020,6423,Rutin,Cukup,Baik,5,2250,1,0,6423,5.0,1,0,450.0,0.8035714285714286
13-01-2021,FJB/1609/SBY/PL/4740,SBY2151263,ALL-NEW-NMAX,2018,39022,Rutin,Cukup,Perlu Penggantian,4,2645,3,3,13007,20.5,1,3,661.25,0.8816666666666667
13-01-2021,FJB/8787/SBY/PL/7944,SBY8346181,FREE-GO-S,2018,31937,Repair,Cukup,Perlu Penggantian,5,2215,3,2,10645,18.0,1,3,443.0,0.886
13-01-2021,FJB/6917/SBY/PL/8374,SBY6146058,ALL-NEW-AEROX,2021,0,Kupon Gratis I (DUA),Cukup,Baik,5,2201,0,0,0,2.0,1,0,440.2,0.7336666666666667
13-01-2021,FJB/2185/SBY/PL/2681,SBY7397699,MIO-M3 125,2020,9863,Rutin,Cukup,Cukup,4,1755,1,0,9863,5.0,1,1,438.75,0.702
14-01-2021,FJB/9286/SBY/PL/8778,SBY6744652,NMAX-NEO-S,2021,0,Repair,Perlu Ganti,Baik,6,2512,0,1,0,3.5,2,0,418.6666666666667,0.8373333333333334
14-01-2021,FJB/4171/SBY/PL/6915,SBY5295131,ALL-NEW-AEROX,2021,175,Rutin,Cukup,Baik,5,2917,0,1,175,3.5,1,0,583.4,0.9723333333333334
14-01-2021,FJB/3337/SBY/PL/4623,SBY7450687,FREE-GO-S,2021,0,Kupon Gratis I (DUA),Cukup,Baik,4,2260,0,1,0,3.5,1,0,565.0,0.904
14-01-2021,FJB/2279/SBY/PL/8072,SBY6048925,ALL-NEW-AEROX,2020,12987,Rutin,Baik,Cukup,3,1623,1,0,12987,5.0,0,1,541.0,0.541
14-01-2021,FJB/7215/SBY/PL/6083,SBY9245437,ALL-NEW-AEROX,2020,9360,Rutin,Kritis,Cukup,9,4580,1,5,9360,15.5,3,1,508.8888888888889,1.5266666666666666
14-01-2021,FJB/6937/SBY/PL/2946,SBY8722982,X-MAX-CONNEC,2019,27474,Repair,Cukup,Perlu Penggantian,3,2497,2,1,13737,13.5,1,3,832.3333333333334,0.7803125
14-01-2021,FJB/6627/SBY/PL/7498,SBY2446412,X-MAX-CONNEC,2020,10479,Rutin,Cukup,Cukup,4,2737,1,1,10479,7.5,1,1,684.25,0.8553125
14-01-2021,FJB/1074/SBY/PL/2833,SBY4780831,FREE-GO-S,2021,320,Repair,Perlu Ganti,Baik,6,2124,0,1,320,3.5,2,0,354.0,0.8496
14-01-2021,FJB/4128/SBY/PL/7463,SBY5767803,ALL-NEW-AEROX,2021,166,Rutin,Cukup,Baik,5,2369,0,1,166,3.5,1,0,473.8,0.7896666666666666
14-01-2021,FJB/8418/SBY/PL/3726,SBY6647266,ALL-NEW-AEROX,2020,10375,Rutin,Cukup,Cukup,5,2135,1,1,10375,7.5,1,1,427.0,0.7116666666666667
14-01-2021,FJB/2946/SBY/PL/6603,SBY7237890,LEXI,2021,0,Rutin,Perlu Ganti,Baik,6,2834,0,2,0,5.0,2,0,472.3333333333333,1.0121428571428572
14-01-2021,FJB/7693/SBY/PL/6831,SBY5239307,ALL-NEW-AEROX,2018,24339,Rutin,Cukup,Perlu Penyetelan,5,2648,3,2,8113,16.0,1,2,529.6,0.8826666666666667
15-01-2021,FJB/5297/SBY/PL/1700,SBY5047560,MT-15,2020,10518,Repair,Perlu Ganti,Cukup,6,3509,1,2,10518,10.0,2,1,584.8333333333334,1.0025714285714287
15-01-2021,FJB/2393/SBY/PL/3802,SBY4878225,NMAX-NEO-S,2020,7563,Repair,Kritis,Baik,8,3354,1,4,7563,12.0,3,0,419.25,1.118
15-01-2021,FJB/2046/SBY/PL/9969,SBY4425250,FREE-GO-S,2019,15770,Repair,Baik,Perlu Penyetelan,4,1446,2,1,7885,9.5,0,2,361.5,0.5784
15-01-2021,FJB/1104/SBY/PL/8990,SBY4763499,NMAX-NEO-S,2020,11701,Repair,Perlu Ganti,Cukup,6,2918,1,1,11701,7.5,2,1,486.3333333333333,0.9726666666666667
15-01-2021,FJB/3122/SBY/PL/4026,SBY9823350,MIO,2021,43,Rutin,Cukup,Baik,5,1902,0,2,43,4.0,1,0,380.4,0.7608
15-01-2021,FJB/9292/SBY/PL/1986,SBY6185802,X-MAX-CONNEC,2020,12733,Repair,Perlu Ganti,Cukup,6,3642,1,2,12733,10.0,2,1,607.0,1.138125
15-01-2021,FJB/5369/SBY/PL/9841,SBY6114808,R15,2019,17208,Rutin,Perlu Ganti,Perlu Penyetelan,5,3817,2,2,8604,13.0,2,2,763.4,1.0905714285714285
15-01-2021,FJB/9391/SBY/PL/9675,SBY1429941,ALL-NEW-AEROX,2020,8328,Rutin,Baik,Cukup,3,1795,1,0,8328,4.0,0,1,598.3333333333334,0.5983333333333334
15-01-2021,FJB/8094/SBY/PL/8230,SBY3240259,FREE-GO-S,2021,0,Rutin,Baik,Baik,3,1404,0,0,0,1.0,0,0,468.0,0.5616
15-01-2021,FJB/2953/SBY/PL/2023,SBY7110277,ALL-NEW-NMAX,2018,24867,Rutin,Cukup,Perlu Penyetelan,5,2579,3,0,8289,13.0,1,2,515.8,0.8596666666666667
15-01-2021,FJB/4425/SBY/PL/8385,SBY8390049,NMAX-NEO-S,2020,11129,Rutin,Cukup,Cukup,3,2280,1,1,11129,7.5,1,1,760.0,0.76
15-01-2021,FJB/9835/SBY/PL/6202,SBY1484066,ALL-NEW-AEROX,2019,23898,Repair,Cukup,Perlu Penyetelan,4,2877,2,0,11949,11.0,1,2,719.25,0.959
16-01-2021,FJB/6692/SBY/PL/4274,SBY5941073,MIO-M3 125,2020,9020,Repair,Cukup,Cukup,4,2337,1,2,9020,9.0,1,1,584.25,0.9348
16-01-2021,FJB/6363/SBY/PL/5937,SBY2815410,FREE-GO-S,2018,30703,Repair,Cukup,Perlu Penggantian,5,2099,3,3,10234,18.5,1,3,419.8,0.8396
16-01-2021,FJB/6324/SBY/PL/9946,SBY9415582,MT-15,2021,0,Kupon Gratis II (TIGA),Cukup,Baik,5,3098,0,1,0,4.5,1,0,619.6,0.8851428571428571
16-01-2021,FJB/5653/SBY/PL/3080,SBY8917646,NMAX-NEO-S,2021,137,Repair,Kritis,Baik,11,4685,0,3,137,8.5,3,0,425.90909090909093,1.5616666666666668
16-01-2021,FJB/9880/SBY/PL/7578,SBY5059408,LEXI,2018,33706,Repair,Cukup,Perlu Penggantian,4,1964,3,1,11235,15.5,1,3,491.0,0.7014285714285714
16-01-2021,FJB/5569/SBY/PL/1826,SBY6394849,MIO,2019,21741,Repair,Kritis,Perlu Penyetelan,8,2768,2,5,10870,17.5,3,2,346.0,1.1072
16-01-2021,FJB/8398/SBY/PL/4233,SBY1624906,LEXI,2021,0,Repair,Perlu Ganti,Baik,5,3020,0,3,0,7.5,2,0,604.0,1.0785714285714285
16-01-2021,FJB/1948/SBY/PL/5354,SBY8828274,NMAX-NEO-S,2021,0,Kupon Gratis I (DUA),Cukup,Baik,5,2750,0,0,0,2.0,1,0,550.0,0.9166666666666666
16-01-2021,FJB/7307/SBY/PL/1539,SBY2220016,R15,2021,121,Repair,Cukup,Baik,5,3162,0,2,121,6.0,1,0,632.4,0.9034285714285715
16-01-2021,FJB/2002/SBY/PL/2820,SBY5489845,MT-15,2021,0,Kupon Gratis II (TIGA),Cukup,Baik,4,3014,0,0,0,3.0,1,0,753.5,0.8611428571428571
17-01-2021,FJB/8533/SBY/PL/4145,SBY1127074,NMAX-NEO-S,2018,27562,Rutin,Cukup,Perlu Penggantian,4,2155,3,1,9187,15.5,1,3,538.75,0.7183333333333334
17-01-2021,FJB/6355/SBY/PL/7239,SBY2232293,NMAX-NEO-S,2020,11784,Rutin,Baik,Cukup,4,1999,1,1,11784,6.5,0,1,499.75,0.6663333333333333
17-01-2021,FJB/9384/SBY/PL/2361,SBY2064999,LEXI,2021,0,Kupon Gratis I (DUA),Cukup,Baik,4,2028,0,0,0,2.0,1,0,507.0,0.7242857142857143
17-01-2021,FJB/7887/SBY/PL/8226,SBY5577153,FREE-GO-S,2021,396,Repair,Perlu Ganti,Baik,6,2574,0,1,396,3.5,2,0,429.0,1.0296
17-01-2021,FJB/5591/SBY/PL/8244,SBY6261274,MT-15,2021,99,Kupon Gratis II (TIGA),Cukup,Baik,5,3109,0,0,99,3.0,1,0,621.8,0.8882857142857142
17-01-2021,FJB/2290/SBY/PL/7726,SBY5707689,MIO-M3 125,2020,13258,Rutin,Cukup,Cukup,4,1760,1,0,13258,5.0,1,1,440.0,0.704
17-01-2021,FJB/8332/SBY/PL/5634,SBY8956133,FAZZIO-NEO-HY,2018,30758,Repair,Perlu Ganti,Perlu Penggantian,6,2673,3,2,10252,17.0,2,3,445.5,0.9546428571428571
17-01-2021,FJB/5351/SBY/PL/2259,SBY5690538,XSR 155,2019,18087,Rutin,Cukup,Perlu Penyetelan,5,2967,2,1,9043,11.5,1,2,593.4,0.8477142857142858
17-01-2021,FJB/6631/SBY/PL/7004,SBY3050349,ALL-NEW-AEROX,2019,13995,Rutin,Cukup,Cukup,5,2422,2,1,6997,10.5,1,1,484.4,0.8073333333333333
18-01-2021,FJB/3865/SBY/PL/8003,SBY6137279,LEXI,2019,21195,Rutin,Kritis,Perlu Penyetelan,6,3700,2,5,10597,18.5,3,2,616.6666666666666,1.3214285714285714
18-01-2021,FJB/8299/SBY/PL/3332,SBY2705205,ALL-NEW-AEROX,2021,0,Rutin,Cukup,Baik,5,2181,0,0,0,2.0,1,0,436.2,0.727
18-01-2021,FJB/6547/SBY/PL/9127,SBY5316925,FILANO-NEO,2021,384,Kupon Gratis I (DUA),Cukup,Baik,5,2436,0,1,384,3.5,1,0,487.2,0.87
18-01-2021,FJB/2105/SBY/PL/7609,SBY8899460,X-MAX-CONNEC,2019,17663,Repair,Cukup,Perlu Penyetelan,5,2891,2,1,8831,10.5,1,2,578.2,0.9034375
18-01-2021,FJB/2519/SBY/PL/8633,SBY3501353,FAZZIO-NEO-HY,2021,241,Kupon Gratis I (DUA),Baik,Baik,3,1881,0,0,241,1.0,0,0,627.0,0.6717857142857143
18-01-2021,FJB/9636/SBY/PL/6016,SBY5961820,FAZZIO-NEO-HY,2019,21276,Rutin,Perlu Ganti,Perlu Penyetelan,6,2493,2,4,10638,16.0,2,2,415.5,0.8903571428571428
18-01-2021,FJB/5733/SBY/PL/4747,SBY9975025,NMAX-NEO-S,2021,0,Repair,Kritis,Baik,8,4405,0,4,0,10.0,3,0,550.625,1.4683333333333333
19-01-2021,FJB/4738/SBY/PL/4541,SBY7595003,MIO,2020,8250,Rutin,Cukup,Cukup,4,1860,1,0,8250,4.0,1,1,465.0,0.744
19-01-2021,FJB/1307/SBY/PL/5082,SBY5763356,MIO,2021,132,Kupon Gratis I (DUA),Cukup,Baik,4,2175,0,1,132,3.5,1,0,543.75,0.87
19-01-2021,FJB/6827/SBY/PL/6728,SBY8710328,FAZZIO-NEO-HY,2020,11241,Repair,Cukup,Cukup,5,2172,1,2,11241,9.0,1,1,434.4,0.7757142857142857
