Tgl FJB,No FJB,Kode Cust,Kode Unit Motor,Tahun Kendaraan,Kilometer,Jns Service,Kondisi_Oli,Kondisi_Rem,Bulan_Terakhir_Ganti_Oli,KM_Terakhir_Ganti_Oli,Usia_Kendaraan,Jumlah_Keluhan,KM_Per_Tahun,Total_Usage_Score,Kondisi_Oli_Encoded,Kondisi_Rem_Encoded
02-01-2021,FJB/9710/SBY/PL/6006,SBY1958555,NMAX-NEO-S,2019,16267,Repair,Kritis,Perlu Penyetelan,5,4078,2,4,8133,17.0,1,2
02-01-2021,FJB/7335/SBY/PL/8166,SBY9246679,MIO,2021,0,Repair,Kritis,Baik,0,3597,0,3,0,7.5,1,0
02-01-2021,FJB/9061/SBY/PL/2735,SBY1732357,MIO,2021,0,Rutin,Baik,Baik,4,1992,0,1,0,2.5,0,0
02-01-2021,FJB/2060/SBY/PL/8845,SBY1653744,R15,2019,25064,Repair,Kritis,Perlu Penggantian,2,4446,2,5,12532,20.5,1,1
03-01-2021,FJB/6225/SBY/PL/2070,SBY4394766,LEXI,2018,22157,Repair,Kritis,Perlu Penggantian,9,3560,3,4,7385,19.0,1,1
03-01-2021,FJB/3660/SBY/PL/6893,SBY4461500,ALL-NEW-AEROX,2018,27074,Repair,Kritis,Perlu Penggantian,8,688,3,4,9024,18.0,1,1
03-01-2021,FJB/5321/SBY/PL/9102,SBY7734928,FREE-GO-S,2020,6561,Rutin,Baik,Baik,3,421,1,1,6561,4.5,0,0
03-01-2021,FJB/8743/SBY/PL/2861,SBY3276451,MIO,2020,9437,Rutin,Baik,Baik,4,1551,1,1,9437,6.5,0,0
03-01-2021,FJB/6777/SBY/PL/6093,SBY9667055,X-MAX-CONNEC,2021,49,Repair,Kritis,Baik,4,3819,0,3,49,7.5,1,0
03-01-2021,FJB/5247/SBY/PL/1858,SBY8390190,FREE-GO-S,2018,19570,Repair,Kritis,Perlu Penggantian,8,2858,3,4,6523,18.0,1,1
03-01-2021,FJB/4026/SBY/PL/3422,SBY5033768,ALL-NEW-NMAX,2021,299,Repair,Perlu Ganti,Baik,2,2632,0,2,299,5.0,2,0
04-01-2021,FJB/5402/SBY/PL/3358,SBY2497619,MIO,2018,22958,Repair,Perlu Ganti,Perlu Penggantian,4,2570,3,4,7652,19.0,2,1
04-01-2021,FJB/7783/SBY/PL/7199,SBY6780005,MIO,2020,10152,Repair,Kritis,Baik,9,3452,1,3,10152,11.5,1,0
04-01-2021,FJB/4416/SBY/PL/2511,SBY5031535,ALL-NEW-AEROX,2019,28139,Repair,Kritis,Perlu Penggantian,8,2347,2,3,14069,16.5,1,1
04-01-2021,FJB/8999/SBY/PL/7854,SBY1453206,X-MAX-CONNEC,2020,8906,Repair,Kritis,Baik,8,3820,1,2,8906,9.0,1,0
04-01-2021,FJB/1437/SBY/PL/2353,SBY4438947,ALL-NEW-NMAX,2021,0,Repair,Perlu Ganti,Baik,6,2260,0,3,0,6.5,2,0
05-01-2021,FJB/7373/SBY/PL/7044,SBY9394869,FREE-GO-S,2021,0,Repair,Kritis,Baik,8,1142,0,4,0,7.0,1,0
05-01-2021,FJB/4396/SBY/PL/6089,SBY8549785,MIO,2021,0,Repair,Kritis,Baik,2,3271,0,4,0,9.0,1,0
05-01-2021,FJB/4108/SBY/PL/8382,SBY8219275,FREE-GO-S,2020,6143,Rutin,Baik,Baik,3,727,1,0,6143,3.0,0,0
05-01-2021,FJB/9127/SBY/PL/2302,SBY2760607,MIO-M3 125,2019,19062,Repair,Kritis,Perlu Penyetelan,8,430,2,3,9531,12.5,1,2
05-01-2021,FJB/5523/SBY/PL/8447,SBY9297744,NMAX-NEO-S,2019,24465,Repair,Kritis,Perlu Penggantian,5,4424,2,5,12232,20.5,1,1
06-01-2021,FJB/4032/SBY/PL/6617,SBY1497280,FREE-GO-S,2018,28630,Repair,Kritis,Perlu Penggantian,1,3779,3,4,9543,21.0,1,1
06-01-2021,FJB/5334/SBY/PL/7038,SBY8384386,MIO,2019,20375,Repair,Baik,Perlu Penggantian,4,418,2,4,10187,14.0,0,1
06-01-2021,FJB/3615/SBY/PL/7399,SBY7965302,FREE-GO-S,2019,20093,Repair,Baik,Perlu Penggantian,3,1740,2,2,10046,12.0,0,1
06-01-2021,FJB/9233/SBY/PL/2293,SBY1889054,ALL-NEW-AEROX,2021,131,Repair,Perlu Ganti,Baik,6,1720,0,4,131,7.0,2,0
06-01-2021,FJB/7649/SBY/PL/4294,SBY3740027,MT-15,2021,36,Rutin,Baik,Baik,1,1582,0,1,36,2.5,0,0
06-01-2021,FJB/3705/SBY/PL/9232,SBY9010278,MIO-M3 125,2020,10150,Jual Part,Baik,Baik,4,504,1,0,10150,4.0,0,0
06-01-2021,FJB/5787/SBY/PL/4762,SBY4703176,FAZZIO-NEO-HY,2019,13665,Rutin,Baik,Perlu Penyetelan,1,1051,2,0,6832,8.0,0,2
06-01-2021,FJB/5184/SBY/PL/5235,SBY5648887,MIO,2020,10251,Repair,Perlu Ganti,Baik,4,2489,1,1,10251,7.5,2,0
06-01-2021,FJB/5091/SBY/PL/7773,SBY8862518,FREE-GO-S,2021,0,Repair,Perlu Ganti,Baik,6,516,0,2,0,3.0,2,0
07-01-2021,FJB/2124/SBY/PL/9029,SBY3636043,MIO-M3 125,2018,17892,Repair,Kritis,Perlu Penggantian,5,4062,3,4,5964,19.0,1,1
07-01-2021,FJB/9012/SBY/PL/9759,SBY8309275,FAZZIO-NEO-HY,2018,20873,Repair,Baik,Perlu Penggantian,3,766,3,2,6957,13.0,0,1
07-01-2021,FJB/2754/SBY/PL/8630,SBY8618004,R15,2020,7761,Repair,Kritis,Baik,7,1272,1,4,7761,10.0,1,0
07-01-2021,FJB/2786/SBY/PL/3250,SBY5329228,NMAX-NEO-S,2020,12127,Repair,Perlu Ganti,Perlu Penyetelan,5,1383,1,4,12127,11.0,2,2
07-01-2021,FJB/7132/SBY/PL/3168,SBY7673111,MIO,2018,19381,Repair,Baik,Perlu Penggantian,3,1309,3,2,6460,14.0,0,1
07-01-2021,FJB/3006/SBY/PL/7250,SBY8701797,ALL-NEW-NMAX,2021,0,Rutin,Baik,Baik,2,1126,0,0,0,1.0,0,0
07-01-2021,FJB/5383/SBY/PL/2701,SBY6552437,ALL-NEW-AEROX,2021,70,Repair,Kritis,Baik,0,4423,0,4,70,10.0,1,0
07-01-2021,FJB/1975/SBY/PL/2394,SBY6812702,MIO,2018,32143,Repair,Kritis,Perlu Penggantian,9,1211,3,4,10714,20.0,1,1
08-01-2021,FJB/1380/SBY/PL/7292,SBY3367207,MIO,2019,13107,Rutin,Baik,Perlu Penyetelan,1,749,2,0,6553,6.0,0,2
08-01-2021,FJB/4384/SBY/PL/1552,SBY5025396,NMAX-NEO-S,2018,24816,Repair,Kritis,Perlu Penggantian,6,3463,3,4,8272,20.0,1,1
08-01-2021,FJB/1945/SBY/PL/7628,SBY3781174,NMAX-NEO-S,2021,0,Repair,Perlu Ganti,Baik,4,2592,0,4,0,8.0,2,0
08-01-2021,FJB/2844/SBY/PL/3163,SBY5415478,LEXI,2018,26260,Repair,Perlu Ganti,Perlu Penggantian,6,2941,3,4,8753,19.0,2,1
08-01-2021,FJB/5929/SBY/PL/9514,SBY9231843,LEXI,2021,66,Repair,Kritis,Baik,9,1806,0,3,66,5.5,1,0
08-01-2021,FJB/2060/SBY/PL/9020,SBY9131899,XSR 155,2021,92,Repair,Kritis,Baik,9,3966,0,3,92,7.5,1,0
08-01-2021,FJB/1164/SBY/PL/8983,SBY9814425,ALL-NEW-NMAX,2019,12898,Repair,Perlu Ganti,Perlu Penyetelan,5,2814,2,4,6449,14.0,2,2
09-01-2021,FJB/8053/SBY/PL/9323,SBY2089510,FAZZIO-NEO-HY,2018,25572,Repair,Baik,Perlu Penggantian,1,747,3,4,8524,17.0,0,1
09-01-2021,FJB/7165/SBY/PL/5313,SBY1274445,VIXION,2020,9288,Repair,Perlu Ganti,Baik,3,2810,1,2,9288,9.0,2,0
09-01-2021,FJB/4078/SBY/PL/6497,SBY6079818,ALL-NEW-AEROX,2021,0,Kupon Gratis II (TIGA),Baik,Baik,3,1699,0,0,0,1.0,0,0
09-01-2021,FJB/3709/SBY/PL/9673,SBY2868140,X-MAX-CONNEC,2021,395,Repair,Perlu Ganti,Baik,2,2853,0,3,395,6.5,2,0
10-01-2021,FJB/1734/SBY/PL/3351,SBY6202147,ALL-NEW-NMAX,2019,17728,Repair,Perlu Ganti,Perlu Penyetelan,5,688,2,3,8864,11.5,2,2
10-01-2021,FJB/5204/SBY/PL/3015,SBY1653619,NMAX-NEO-S,2018,34115,Repair,Baik,Perlu Penggantian,4,1877,3,4,11371,20.0,0,1
10-01-2021,FJB/1931/SBY/PL/2752,SBY8555856,ALL-NEW-AEROX,2021,275,Repair,Perlu Ganti,Baik,3,2825,0,2,275,5.0,2,0
10-01-2021,FJB/7836/SBY/PL/4434,SBY6066664,FAZZIO-NEO-HY,2020,9313,Repair,Kritis,Baik,0,4341,1,4,9313,14.0,1,0
10-01-2021,FJB/4034/SBY/PL/6234,SBY6493854,NMAX-NEO-S,2019,18164,Repair,Perlu Ganti,Perlu Penyetelan,1,2808,2,3,9082,14.5,2,2
10-01-2021,FJB/9639/SBY/PL/2262,SBY4059559,MIO-M3 125,2018,24006,Repair,Kritis,Perlu Penggantian,9,1184,3,4,8002,18.0,1,1
10-01-2021,FJB/3309/SBY/PL/7358,SBY9662815,NMAX-NEO-S,2019,27523,Repair,Kritis,Perlu Penggantian,1,3229,2,4,13761,19.0,1,1
10-01-2021,FJB/1558/SBY/PL/5745,SBY1731322,FREE-GO-S,2021,0,Repair,Perlu Ganti,Baik,6,886,0,3,0,4.5,2,0
11-01-2021,FJB/9985/SBY/PL/6338,SBY8695424,FAZZIO-NEO-HY,2020,8651,Repair,Kritis,Baik,9,1213,1,3,8651,8.5,1,0
11-01-2021,FJB/2226/SBY/PL/4524,SBY4644329,MIO-M3 125,2018,25431,Repair,Perlu Ganti,Perlu Penggantian,5,2221,3,3,8477,17.5,2,1
12-01-2021,FJB/6574/SBY/PL/4128,SBY9391545,ALL-NEW-AEROX,2020,8572,Rutin,Baik,Baik,0,1983,1,0,8572,4.0,0,0
12-01-2021,FJB/3021/SBY/PL/8486,SBY5809423,ALL-NEW-AEROX,2021,306,Repair,Kritis,Baik,7,1733,0,4,306,7.0,1,0
12-01-2021,FJB/4015/SBY/PL/8161,SBY1108522,R15,2019,15683,Rutin,Baik,Perlu Penyetelan,3,1377,2,1,7841,9.5,0,2
12-01-2021,FJB/5490/SBY/PL/8825,SBY8179193,R15,2019,26009,Repair,Kritis,Perlu Penggantian,0,3985,2,4,13004,18.0,1,1
12-01-2021,FJB/7052/SBY/PL/2793,SBY2427985,ALL-NEW-AEROX,2020,13674,Repair,Kritis,Perlu Penyetelan,8,3909,1,4,13674,14.0,1,2
13-01-2021,FJB/6637/SBY/PL/4612,SBY3343532,X-MAX-CONNEC,2021,72,Rutin,Baik,Baik,3,1549,0,1,72,2.5,0,0
13-01-2021,FJB/5663/SBY/PL/1463,SBY8330561,ALL-NEW-AEROX,2018,27834,Repair,Kritis,Perlu Penggantian,7,337,3,3,9278,16.5,1,1
13-01-2021,FJB/8099/SBY/PL/6688,SBY9082072,FAZZIO-NEO-HY,2019,16071,Repair,Kritis,Perlu Penyetelan,3,3249,2,4,8035,16.0,1,2
13-01-2021,FJB/8933/SBY/PL/2762,SBY7418262,VIXION,2020,10941,Repair,Perlu Ganti,Baik,6,2759,1,4,10941,12.0,2,0
13-01-2021,FJB/7275/SBY/PL/5447,SBY8722592,NMAX-NEO-S,2021,109,Repair,Kritis,Baik,0,4153,0,3,109,8.5,1,0
13-01-2021,FJB/9995/SBY/PL/2996,SBY9180110,NMAX-NEO-S,2018,39710,Repair,Baik,Perlu Penggantian,3,1726,3,2,13236,18.0,0,1
13-01-2021,FJB/4184/SBY/PL/3243,SBY1770344,X-MAX-CONNEC,2019,29717,Repair,Kritis,Perlu Penggantian,9,3935,2,4,14858,19.0,1,1
13-01-2021,FJB/6480/SBY/PL/2856,SBY8764608,XSR 155,2021,0,Repair,Kritis,Baik,9,2797,0,3,0,6.5,1,0
14-01-2021,FJB/9605/SBY/PL/8712,SBY3369266,VIXION,2020,9220,Repair,Kritis,Baik,2,3125,1,4,9220,13.0,1,0
14-01-2021,FJB/8148/SBY/PL/8525,SBY7382375,ALL-NEW-NMAX,2019,20274,Repair,Kritis,Perlu Penggantian,7,3008,2,4,10137,17.0,1,1
14-01-2021,FJB/8554/SBY/PL/8401,SBY9095963,MIO-M3 125,2018,26621,Repair,Kritis,Perlu Penggantian,8,129,3,4,8873,17.0,1,1
14-01-2021,FJB/1249/SBY/PL/1289,SBY3205556,XSR 155,2020,8017,Repair,Kritis,Baik,5,3581,1,4,8017,12.0,1,0
14-01-2021,FJB/3017/SBY/PL/7203,SBY8883868,X-MAX-CONNEC,2021,292,Repair,Perlu Ganti,Baik,5,379,0,1,292,1.5,2,0
15-01-2021,FJB/1074/SBY/PL/3711,SBY4708389,ALL-NEW-NMAX,2019,11766,Rutin,Baik,Perlu Penyetelan,1,908,2,0,5883,6.0,0,2
15-01-2021,FJB/2283/SBY/PL/9566,SBY8849488,MIO,2020,10120,Kupon Gratis III (TIGA),Baik,Baik,0,464,1,0,10120,4.0,0,0
15-01-2021,FJB/7239/SBY/PL/8892,SBY9101649,MT-15,2020,6637,Repair,Kritis,Baik,7,170,1,3,6637,7.5,1,0
15-01-2021,FJB/5407/SBY/PL/3494,SBY4669621,NMAX-NEO-S,2020,14462,Rutin,Baik,Perlu Penyetelan,0,692,1,1,14462,6.5,0,2
15-01-2021,FJB/5577/SBY/PL/1410,SBY9550648,XSR 155,2020,12604,Repair,Kritis,Perlu Penyetelan,0,4171,1,4,12604,14.0,1,2
15-01-2021,FJB/6950/SBY/PL/8807,SBY5102480,ALL-NEW-NMAX,2018,18669,Repair,Baik,Perlu Penggantian,2,627,3,3,6223,14.5,0,1
16-01-2021,FJB/2722/SBY/PL/8211,SBY5898621,XSR 155,2018,40347,Repair,Kritis,Perlu Penggantian,5,3162,3,4,13449,23.0,1,1
16-01-2021,FJB/9342/SBY/PL/6323,SBY6555284,VIXION,2019,25102,Repair,Kritis,Perlu Penggantian,0,3552,2,4,12551,18.0,1,1
17-01-2021,FJB/5890/SBY/PL/4674,SBY6644297,XSR 155,2019,20936,Repair,Perlu Ganti,Perlu Penggantian,2,2215,2,3,10468,14.5,2,1
17-01-2021,FJB/9698/SBY/PL/7416,SBY3195068,X-MAX-CONNEC,2020,9698,Repair,Kritis,Baik,7,939,1,2,9698,7.0,1,0
17-01-2021,FJB/2468/SBY/PL/4662,SBY6475337,FAZZIO-NEO-HY,2018,29907,Repair,Perlu Ganti,Perlu Penggantian,5,1200,3,3,9969,17.5,2,1
17-01-2021,FJB/7679/SBY/PL/4259,SBY2168359,LEXI,2020,6643,Rutin,Baik,Baik,3,1520,1,1,6643,5.5,0,0
17-01-2021,FJB/2611/SBY/PL/5818,SBY7988956,FREE-GO-S,2019,13714,Repair,Kritis,Perlu Penyetelan,9,4292,2,3,6857,15.5,1,2
17-01-2021,FJB/1338/SBY/PL/2245,SBY1121756,R15,2020,7646,Rutin,Perlu Ganti,Baik,3,2135,1,1,7646,6.5,2,0
17-01-2021,FJB/1530/SBY/PL/7343,SBY7747116,MIO-M3 125,2021,0,Rutin,Baik,Baik,4,722,0,0,0,0.0,0,0
17-01-2021,FJB/5705/SBY/PL/4717,SBY8953271,NMAX-NEO-S,2021,214,Repair,Kritis,Baik,9,976,0,3,214,4.5,1,0
17-01-2021,FJB/9566/SBY/PL/6797,SBY7776829,LEXI,2018,29553,Repair,Kritis,Perlu Penggantian,4,3957,3,5,9851,22.5,1,1
18-01-2021,FJB/1860/SBY/PL/6034,SBY5500348,X-MAX-CONNEC,2021,0,Repair,Perlu Ganti,Baik,5,1016,0,3,0,5.5,2,0
18-01-2021,FJB/2641/SBY/PL/1219,SBY2531794,MIO,2021,0,Rutin,Perlu Ganti,Baik,5,392,0,1,0,1.5,2,0
18-01-2021,FJB/3297/SBY/PL/4182,SBY9429497,ALL-NEW-NMAX,2018,24291,Repair,Kritis,Perlu Penggantian,7,3038,3,4,8097,20.0,1,1
18-01-2021,FJB/9568/SBY/PL/4777,SBY4253347,ALL-NEW-AEROX,2019,22701,Repair,Baik,Perlu Penggantian,4,452,2,3,11350,13.5,0,1
18-01-2021,FJB/9695/SBY/PL/4912,SBY2968215,FREE-GO-S,2019,18824,Rutin,Baik,Perlu Penyetelan,4,1294,2,1,9412,10.5,0,2
19-01-2021,FJB/9068/SBY/PL/2974,SBY8394116,X-MAX-CONNEC,2021,350,Rutin,Baik,Baik,3,1736,0,0,350,1.0,0,0
19-01-2021,FJB/8976/SBY/PL/8434,SBY5692058,R15,2019,25592,Repair,Perlu Ganti,Perlu Penggantian,2,2182,2,2,12796,14.0,2,1
19-01-2021,FJB/5621/SBY/PL/2147,SBY4886906,VIXION,2021,169,Rutin,Baik,Baik,1,740,0,1,169,1.5,0,0
19-01-2021,FJB/5703/SBY/PL/8385,SBY1882113,ALL-NEW-NMAX,2021,0,Rutin,Perlu Ganti,Baik,6,782,0,1,0,1.5,2,0
19-01-2021,FJB/4130/SBY/PL/9694,SBY8332189,R15,2020,13209,Repair,Kritis,Perlu Penyetelan,4,4186,1,4,13209,14.0,1,2
19-01-2021,FJB/3961/SBY/PL/6424,SBY6463396,NMAX-NEO-S,2018,29146,Repair,Kritis,Perlu Penggantian,6,3564,3,4,9715,21.0,1,1
20-01-2021,FJB/6647/SBY/PL/4906,SBY2288471,LEXI,2020,7722,Repair,Kritis,Baik,5,3473,1,3,7722,10.5,1,0
20-01-2021,FJB/4428/SBY/PL/1125,SBY2606620,R15,2019,26844,Repair,Baik,Perlu Penggantian,0,1900,2,3,13422,14.5,0,1
20-01-2021,FJB/8516/SBY/PL/3186,SBY2489608,MT-15,2021,0,Kupon Gratis III (TIGA),Baik,Baik,3,1403,0,0,0,1.0,0,0
20-01-2021,FJB/1924/SBY/PL/7942,SBY9955113,FAZZIO-NEO-HY,2021,0,Repair,Perlu Ganti,Baik,1,2126,0,1,0,3.5,2,0
20-01-2021,FJB/5644/SBY/PL/7579,SBY6158310,FILANO-NEO,2018,19252,Repair,Baik,Perlu Penggantian,0,1530,3,3,6417,15.5,0,1
20-01-2021,FJB/4203/SBY/PL/6419,SBY3716135,MIO,2019,16102,Repair,Perlu Ganti,Perlu Penyetelan,3,2132,2,2,8051,12.0,2,2
20-01-2021,FJB/4743/SBY/PL/5592,SBY8434225,MIO,2019,23302,Repair,Kritis,Perlu Penggantian,3,3015,2,4,11651,18.0,1,1
20-01-2021,FJB/4389/SBY/PL/2556,SBY8680251,X-MAX-CONNEC,2020,14156,Repair,Kritis,Perlu Penyetelan,7,2675,1,3,14156,11.5,1,2
20-01-2021,FJB/4027/SBY/PL/1897,SBY4288736,LEXI,2020,5935,Rutin,Baik,Baik,0,1911,1,1,5935,5.5,0,0
20-01-2021,FJB/4249/SBY/PL/6695,SBY9024180,R15,2019,24287,Repair,Kritis,Perlu Penggantian,7,3840,2,4,12143,18.0,1,1
20-01-2021,FJB/1064/SBY/PL/7306,SBY1977038,MIO-M3 125,2018,23857,Repair,Kritis,Perlu Penggantian,7,1923,3,4,7952,18.0,1,1
21-01-2021,FJB/3735/SBY/PL/8413,SBY9181004,NMAX-NEO-S,2021,0,Repair,Kritis,Baik,6,4312,0,2,0,7.0,1,0
21-01-2021,FJB/4939/SBY/PL/7383,SBY8689214,MIO,2019,23729,Repair,Kritis,Perlu Penggantian,8,3014,2,4,11864,18.0,1,1
21-01-2021,FJB/8275/SBY/PL/9147,SBY8180581,ALL-NEW-AEROX,2021,0,Repair,Kritis,Baik,7,45,0,3,0,4.5,1,0
21-01-2021,FJB/2215/SBY/PL/1012,SBY2053458,VIXION,2018,29819,Repair,Perlu Ganti,Perlu Penggantian,5,469,3,4,9939,18.0,2,1
21-01-2021,FJB/4835/SBY/PL/1445,SBY5874324,LEXI,2020,6211,Jual Part,Baik,Baik,3,584,1,0,6211,3.0,0,0
21-01-2021,FJB/2237/SBY/PL/8027,SBY1553764,XSR 155,2021,0,Repair,Kritis,Baik,0,4140,0,3,0,8.5,1,0
21-01-2021,FJB/5563/SBY/PL/6770,SBY8856704,LEXI,2019,15562,Repair,Baik,Perlu Penyetelan,1,549,2,1,7781,8.5,0,2
22-01-2021,FJB/8246/SBY/PL/9755,SBY4875193,R15,2018,39303,Repair,Kritis,Perlu Penggantian,8,285,3,4,13101,20.0,1,1
22-01-2021,FJB/5394/SBY/PL/6424,SBY5156673,MIO,2019,22068,Repair,Kritis,Perlu Penggantian,8,1516,2,3,11034,13.5,1,1
22-01-2021,FJB/7169/SBY/PL/3878,SBY7260124,ALL-NEW-NMAX,2021,140,Repair,Perlu Ganti,Baik,3,2451,0,4,140,8.0,2,0
22-01-2021,FJB/9279/SBY/PL/9371,SBY4338202,R15,2020,13272,Repair,Kritis,Perlu Penyetelan,9,1601,1,4,13272,11.0,1,2
22-01-2021,FJB/4385/SBY/PL/9226,SBY7897741,MIO-M3 125,2019,10826,Repair,Perlu Ganti,Perlu Penyetelan,2,2714,2,2,5413,11.0,2,2
22-01-2021,FJB/5079/SBY/PL/3866,SBY5245627,NMAX-NEO-S,2019,23875,Repair,Kritis,Perlu Penggantian,8,4361,2,5,11937,20.5,1,1
22-01-2021,FJB/9135/SBY/PL/5299,SBY4751913,MT-15,2021,0,Rutin,Baik,Baik,3,1630,0,0,0,1.0,0,0
22-01-2021,FJB/7240/SBY/PL/2336,SBY5656094,MIO,2021,274,Repair,Kritis,Baik,8,469,0,2,274,3.0,1,0
22-01-2021,FJB/2438/SBY/PL/7885,SBY7400754,ALL-NEW-NMAX,2019,13406,Repair,Baik,Perlu Penyetelan,0,1860,2,1,6703,8.5,0,2
22-01-2021,FJB/5582/SBY/PL/4873,SBY3924001,X-MAX-CONNEC,2019,28523,Repair,Baik,Perlu Penggantian,2,1672,2,4,14261,17.0,0,1
22-01-2021,FJB/9989/SBY/PL/3475,SBY1044298,FAZZIO-NEO-HY,2019,19140,Repair,Kritis,Perlu Penyetelan,7,4074,2,4,9570,18.0,1,2
22-01-2021,FJB/6552/SBY/PL/7763,SBY8249869,XSR 155,2019,15433,Repair,Baik,Perlu Penyetelan,3,1662,2,2,7716,11.0,0,2
22-01-2021,FJB/5760/SBY/PL/8814,SBY9107532,ALL-NEW-NMAX,2020,6878,Rutin,Baik,Baik,1,1792,1,0,6878,4.0,0,0
22-01-2021,FJB/8023/SBY/PL/8841,SBY3419987,FAZZIO-NEO-HY,2021,54,Repair,Perlu Ganti,Baik,6,18,0,3,54,4.5,2,0
22-01-2021,FJB/5849/SBY/PL/9243,SBY6340940,XSR 155,2021,37,Repair,Perlu Ganti,Baik,1,2138,0,2,37,5.0,2,0
23-01-2021,FJB/8079/SBY/PL/4004,SBY6897536,ALL-NEW-NMAX,2018,28977,Repair,Perlu Ganti,Perlu Penggantian,5,1314,3,3,9659,17.5,2,1
23-01-2021,FJB/3225/SBY/PL/6893,SBY1325293,MIO,2018,28259,Repair,Kritis,Perlu Penggantian,5,3448,3,3,9419,19.5,1,1
23-01-2021,FJB/3958/SBY/PL/1795,SBY3111592,NMAX-NEO-S,2021,0,Repair,Perlu Ganti,Baik,0,2721,0,3,0,6.5,2,0
23-01-2021,FJB/5583/SBY/PL/3987,SBY9151156,MIO-M3 125,2021,0,Repair,Perlu Ganti,Baik,6,742,0,3,0,4.5,2,0
23-01-2021,FJB/8727/SBY/PL/4846,SBY5157723,ALL-NEW-AEROX,2019,25848,Repair,Perlu Ganti,Perlu Penggantian,5,977,2,2,12924,12.0,2,1
23-01-2021,FJB/9832/SBY/PL/1100,SBY1779761,XSR 155,2018,40350,Repair,Perlu Ganti,Perlu Penggantian,6,1445,3,4,13450,21.0,2,1
23-01-2021,FJB/7099/SBY/PL/4287,SBY2340757,MIO,2019,20118,Repair,Perlu Ganti,Perlu Penggantian,5,133,2,3,10059,12.5,2,1
24-01-2021,FJB/4529/SBY/PL/9572,SBY9795942,NMAX-NEO-S,2020,13066,Rutin,Baik,Perlu Penyetelan,0,399,1,1,13066,5.5,0,2
24-01-2021,FJB/5667/SBY/PL/6210,SBY4951435,X-MAX-CONNEC,2021,0,Repair,Perlu Ganti,Baik,5,1304,0,3,0,5.5,2,0
24-01-2021,FJB/8722/SBY/PL/4597,SBY7713387,MIO,2020,8002,Repair,Kritis,Baik,7,216,1,4,8002,9.0,1,0
24-01-2021,FJB/9393/SBY/PL/7544,SBY1419960,NMAX-NEO-S,2019,28167,Repair,Kritis,Perlu Penggantian,8,3613,2,4,14083,19.0,1,1
25-01-2021,FJB/1124/SBY/PL/6538,SBY7856610,MIO,2018,26239,Repair,Perlu Ganti,Perlu Penggantian,5,472,3,4,8746,17.0,2,1
25-01-2021,FJB/5978/SBY/PL/1320,SBY9436225,MIO,2020,7606,Repair,Kritis,Baik,8,2638,1,3,7606,9.5,1,0
25-01-2021,FJB/4703/SBY/PL/4798,SBY4803691,R15,2021,143,Repair,Kritis,Baik,8,3702,0,4,143,9.0,1,0
25-01-2021,FJB/2854/SBY/PL/4172,SBY7401486,FILANO-NEO,2020,7337,Repair,Kritis,Baik,4,3356,1,2,7337,9.0,1,0
25-01-2021,FJB/6459/SBY/PL/5876,SBY5704357,XSR 155,2021,0,Rutin,Baik,Baik,2,150,0,0,0,0.0,0,0
